Gene,sample1,sample2,sampleN
COL21A1,0,0,0
COL22A1,0,0,0
COL23A1,0,0,0
COL24A1,0,0,0
COL25A1,0,0,0
COL26A1,0,0,0
COL27A1,0,0,1
COL28A1,0,0,0
COL2A1,0,0,0
COL3A1,155,387,23
COL4A1,7,22,2
COL4A2,6,11,3
COL4A3,0,0,0
COL4A4,0,0,0
COL4A5,0,0,0
COL4A6,0,0,0
COL5A1,3,7,1
COL5A2,1,2,0
COL5A3,1,3,0
COL6A1,39,202,51
COL6A2,7,26,5
COL6A3,12,34,4
COL6A5,0,0,0
COL6A6,0,0,0
COL7A1,1,1,0
COL8A1,3,7,0
COL8A2,4,6,1
COL9A1,0,0,0
COL9A2,0,0,1
COL9A3,1,3,2
COLCA2,2,3,2
COLEC10,0,0,0
COLEC11,0,1,0
COLEC12,0,3,0
COLGALT1,11,15,6
COLGALT2,2,2,0
COLQ,0,0,0
COMMD1,0,0,0
COMMD10,1,1,0
COMMD2,10,21,13
COMMD3,239,155,129
COMMD4,3,5,5
COMMD5,2,4,2
COMMD6,38,45,30
COMMD7,2,3,2
COMMD8,16,30,8
COMMD9,6,12,6
COMP,143,345,9
COMT,13,17,8
COMTD1,220,125,249
COP1,0,0,0
COPA,36,24,21
COPB1,26,17,17
COPB2,29,22,21
COPE,6,5,4
COPG1,110,77,69
COPG2,1,1,1
COPRS,61,86,49
COPS2,11,13,11
COPS3,1,3,2
COPS4,2,4,2
COPS5,37,41,32
COPS6,227,239,231
COPS7A,32,19,20
COPS7B,2,1,1
COPS8,32,27,19
COPS9,62,86,60
COPZ1,12,15,10
COPZ2,1,3,1
COQ10A,16,15,20
COQ10B,22,26,11
COQ2,13,12,5
COQ3,0,0,0
COQ4,23,18,21
COQ5,5,3,5
COQ6,1,2,1
COQ7,2,1,1
COQ8A,1,1,2
COQ8B,4,1,4
COQ9,39,32,25
CORIN,0,0,0
CORO1A,0,0,0
CORO1B,66,70,34
CORO1C,10,13,3
CORO2A,9,4,4
CORO2B,0,0,0
CORO6,0,0,0
CORO7,1,1,1
COTL1,105,148,53
COX10,1,3,1
COX11,2,1,2
COX14,25,28,21
COX15,1,2,1
COX16,1,3,2
COX17,32,31,23
COX18,2,4,3
COX19,45,51,34
COX20,13,11,12
COX4I1,54,84,45
COX4I2,0,0,0
COX5A,40,59,49
COX5B,396,594,294
COX6A1,665,1155,516
COX6A2,0,0,0
COX6B1,277,343,175
COX6B2,3,0,1
COX6C,174,218,126
COX7A1,97,397,112
COX7A2,47,60,35
COX7A2L,14,10,10
COX7B,273,269,157
COX7B2,0,0,0
COX7C,2804,2384,2417
COX8A,1693,3434,1552
COX8C,16,0,0
CP,1,2,2
CPA1,496,199,50663
CPA2,33,19,3596
CPA3,2,18,4
CPA4,0,0,0
CPA5,0,0,0
CPA6,0,0,0
CPAMD8,0,0,0
CPB1,122,63,14794
CPB2,0,0,0
CPD,18,9,9
CPE,6,29,8
CPEB1,0,0,0
CPEB2,1,0,0
CPEB3,0,0,0
CPEB4,7,6,7
CPED1,0,1,0
CPLANE1,0,0,0
CPLANE2,1,1,0
CPLX1,0,1,0
CPLX2,0,1,0
CPLX4,0,0,0
CPM,1,1,1
CPN1,0,0,0
CPN2,0,0,0
CPNE1,3,5,2
CPNE2,3,2,1
CPNE3,7,9,5
CPNE4,0,0,0
CPNE5,0,0,0
CPNE6,0,0,0
CPNE7,0,0,0
CPNE8,0,0,0
CPNE9,0,0,0
CPO,0,0,0
CPOX,2,2,2
CPPED1,2,3,1
CPQ,2,2,2
CPS1,0,1,0
CPSF1,7,6,6
CPSF2,7,6,4
CPSF3,2,1,1
CPSF4,2,3,1
CPSF4L,0,0,0
CPSF6,6,5,6
CPSF7,1,1,1
CPT1A,4,2,3
CPT1B,1,0,1
CPT1C,0,0,0
CPT2,13,11,12
CPTP,26,9,20
CPVL,0,0,0
CPXCR1,0,0,0
CPXM1,1,21,4
CPXM2,0,0,0
CPZ,0,0,0
CR1,1,1,0
CR1L,0,0,0
CR2,0,0,0
CRABP1,0,3,0
CRABP2,9,18,1
CRACR2A,0,0,0
CRACR2B,2,1,3
CRADD,0,0,0
CRAMP1,6,6,4
CRAT,4,3,4
CRB1,0,0,0
CRB2,0,0,0
CRB3,71,24,39
CRBN,5,6,5
CRCP,4,5,3
CRCT1,98,68,1
CREB1,1,1,0
CREB3,173,232,154
CREB3L1,9,6,11
CREB3L2,4,5,3
CREB3L3,0,0,0
CREB3L4,11,8,7
CREB5,0,0,0
CREBBP,1,1,1
CREBL2,37,54,31
CREBRF,1,3,2
CREBZF,5,7,4
CREG1,206,188,117
CREG2,2,1,0
CRELD1,3,1,2
CRELD2,21,13,17
CREM,0,0,0
CRH,0,100,111
CRHBP,0,0,0
CRHR1,0,0,0
CRHR2,0,0,0
CRIM1,0,1,0
CRIP1,0,4,28
CRIP2,36,52,19
CRIP3,4,9,0
CRIPT,66,49,36
CRISP1,0,0,0
CRISP2,0,0,0
CRISP3,92,30,67
CRISPLD1,0,2,1
CRISPLD2,2,14,4
CRK,8,10,6
CRKL,5,17,6
CRLF1,2,12,2
CRLF3,2,4,2
CRLS1,2,3,3
CRMP1,0,0,0
CRNKL1,3,6,4
CRNN,0,0,0
CROCC,0,0,0
CROCC2,0,0,0
CROT,3,2,2
CRP,97,21,183
CRTAC1,0,0,0
CRTAM,1,1,0
CRTAP,10,15,8
CRTC1,0,0,0
CRTC2,5,6,4
CRTC3,2,3,2
CRX,1,0,0
CRY1,2,3,1
CRY2,12,11,10
CRYAB,7,22,8
CRYBA1,0,0,0
CRYBA2,0,87,44
CRYBA4,0,0,0
CRYBB1,0,0,0
CRYBB2,3,1,4
CRYBB3,0,0,1
CRYBG1,1,2,1
CRYBG2,4,1,1
CRYBG3,2,2,1
CRYGA,0,0,0
CRYGC,0,0,0
CRYGD,0,0,0
CRYGN,0,0,0
CRYGS,2,5,9
CRYL1,3,2,2
CRYM,1,0,0
CRYZ,7,5,8
CRYZL1,6,5,6
CS,22,13,25
CSAD,1,2,1
CSDC2,1,2,2
CSDE1,33,36,24
CSE1L,3,3,2
CSF1,5,13,7
CSF1R,3,9,1
CSF2,5,15,1
CSF2RB,1,4,0
CSF3,0,0,0
CSF3R,1,5,1
CSGALNACT1,0,0,0
CSGALNACT2,1,4,1
CSH2,0,0,0
CSHL1,0,0,0
CSK,2,3,1
CSKMT,158,105,120
CSMD1,0,0,0
CSMD2,0,0,0
CSMD3,0,0,0
CSNK1A1,9,7,6
CSNK1A1L,0,0,1
CSNK1D,7,7,6
CSNK1E,40,25,26
CSNK1G1,0,1,1
CSNK1G2,5,3,3
CSNK1G3,0,0,0
CSNK2A1,3,4,2
CSNK2A2,8,6,6
CSNK2A3,104,194,90
CSNK2B,55,61,29
CSNKA2IP,0,0,0
CSPG4,1,4,1
CSPG5,0,0,0
CSPP1,0,0,0
CSRNP1,26,16,16
CSRNP2,1,2,1
CSRNP3,0,0,0
CSRP1,15,36,10
CSRP2,0,1,0
CSRP3,0,0,0
CST1,112,247,12
CST2,65,64,1
CST3,876,1165,473
CST4,33,48,0
CST5,0,5,7
CST6,47,417,6
CST7,12,26,10
CSTA,20,13,3
CSTB,4089,4225,1398
CSTF1,5,6,7
CSTF2,2,1,1
CSTF2T,101,68,109
CSTF3,7,6,5
CSTL1,0,0,0
CT47B1,0,0,0
CT62,0,0,0
CT83,0,0,0
CTAGE1,0,2,0
CTAGE4,0,0,0
CTAGE9,0,0,0
CTBP1,5,7,4
CTBP2,0,0,0
CTBS,29,35,27
CTC1,1,0,1
CTCF,3,3,3
CTCFL,0,0,0
CTDNEP1,47,80,49
CTDP1,0,1,0
CTDSP1,9,9,7
CTDSP2,16,33,21
CTDSPL,2,2,2
CTDSPL2,0,0,0
CTF1,1,0,2
CTH,1,1,1
CTHRC1,16,42,5
CTIF,0,0,0
CTLA4,5,8,4
CTNNA1,3,2,1
CTNNA2,0,0,0
CTNNA3,0,0,0
CTNNAL1,2,4,2
CTNNB1,14,17,8
CTNNBIP1,1,2,1
CTNNBL1,1,1,1
CTNND1,5,3,3
CTNND2,0,0,0
CTNS,0,1,0
CTPS1,1,1,1
CTPS2,0,0,0
CTR9,25,17,18
CTRB1,116,38,12378
CTRB2,37,69,3525
CTRC,36,28,4463
CTRL,11,0,184
CTSA,164,234,70
CTSB,30,46,12
CTSC,53,81,19
CTSD,1107,1786,460
CTSE,131,83,26
CTSF,44,61,49
CTSG,0,12,2
CTSH,23,27,16
CTSK,42,148,14
CTSL,48,78,17
CTSO,19,29,17
CTSS,66,99,32
CTSV,13,6,1
CTSW,8,37,15
CTSZ,372,604,122
CTTN,22,14,10
CTTNBP2,0,0,0
CTTNBP2NL,4,5,3
CTU1,22,16,22
CTU2,5,10,5
CTXN1,5,6,24
CTXN2,0,0,0
CTXN3,0,0,0
CTXND1,1,1,2
CTXND2,0,0,0
CUBN,0,0,0
CUEDC1,2,1,2
CUEDC2,16,38,23
CUL1,1,2,1
CUL2,1,1,0
CUL3,2,1,1
CUL4A,4,3,2
CUL4B,5,5,3
CUL5,2,3,2
CUL7,2,1,1
CUL9,0,1,0
CUTA,90,66,68
CUTC,5,15,6
CUX1,0,0,0
CUX2,0,0,0
CUZD1,2,1,222
CWC15,50,38,36
CWC22,4,4,3
CWC25,5,8,4
CWC27,2,1,1
CWF19L1,1,1,1
CWF19L2,2,1,2
CWH43,0,0,0
CX3CL1,22,43,53
CX3CR1,1,5,1
CXADR,2,1,2
CXCL1,193,250,222
CXCL10,73,89,125
CXCL11,11,64,70
CXCL12,4,33,19
CXCL13,0,0,1
CXCL14,294,938,21
CXCL16,224,447,111
CXCL17,101,119,47
CXCL2,1742,1083,1499
CXCL3,805,564,544
CXCL5,2573,1535,1243
CXCL6,174,400,111
CXCL8,487,893,177
CXCL9,40,234,87
CXCR1,0,2,0
CXCR2,0,0,0
CXCR3,0,3,0
CXCR4,61,102,27
CXCR5,1,2,1
CXCR6,0,6,3
CXXC1,26,23,24
CXXC4,0,2,1
CXXC5,5,4,4
CXorf38,3,3,2
CXorf58,0,0,0
CXorf65,0,0,1
CXorf66,0,0,0
CYB561,52,41,38
CYB561A3,6,9,4
CYB561D1,4,6,6
CYB561D2,11,11,9
CYB5A,9,6,12
CYB5B,26,28,23
CYB5D1,0,0,0
CYB5D2,3,2,4
CYB5R1,49,146,56
CYB5R2,1,2,1
CYB5R3,14,14,10
CYB5R4,7,6,3
CYB5RL,0,0,1
CYBA,123,121,81
CYBB,35,90,7
CYBC1,8,9,5
CYBRD1,10,18,6
CYC1,487,684,482
CYCS,364,359,186
CYFIP1,1,1,0
CYFIP2,0,0,0
CYGB,6,15,6
CYHR1,51,51,50
CYLC1,0,0,0
CYLC2,0,0,0
CYLD,1,1,1
CYP11A1,0,0,0
CYP11B1,0,0,0
CYP11B2,0,0,0
CYP17A1,0,0,0
CYP19A1,0,0,0
CYP1A1,0,0,0
CYP1A2,0,0,0
CYP1B1,29,199,28
CYP20A1,1,0,0
CYP21A2,0,0,0
CYP24A1,0,0,0
CYP26A1,0,0,0
CYP26B1,0,1,0
CYP26C1,0,0,0
CYP27A1,13,29,5
CYP27B1,11,25,9
CYP27C1,1,0,0
CYP2A13,0,0,0
CYP2A6,0,0,0
CYP2A7,0,0,0
CYP2B6,1,0,1
CYP2C18,12,1,6
CYP2C19,0,0,0
CYP2C8,0,0,1
CYP2C9,4,4,2
CYP2D6,0,0,0
CYP2E1,1,8,5
CYP2F1,0,0,0
CYP2J2,1,0,1
CYP2R1,1,1,0
CYP2S1,51,13,7
CYP2U1,1,7,0
CYP2W1,0,0,0
CYP39A1,0,0,0
CYP3A4,0,0,0
CYP3A43,0,0,0
CYP3A5,35,15,19
CYP3A7,0,2,0
CYP46A1,0,0,0
CYP4A11,0,0,0
CYP4A22,0,0,0
CYP4B1,0,0,0
CYP4F11,2,0,2
CYP4F12,1,0,0
CYP4F2,0,0,0
CYP4F22,0,0,0
CYP4F3,5,0,4
CYP4F8,0,0,0
CYP4V2,19,11,16
CYP4X1,1,1,1
CYP4Z1,0,0,0
CYP51A1,0,0,0
CYP7A1,0,0,0
CYP7B1,0,0,0
CYP8B1,0,0,0
CYREN,1,1,1
CYS1,7,3,40
CYSLTR1,0,0,0
CYSLTR2,0,0,0
CYSRT1,50,40,5
CYSTM1,180,102,104
CYTH1,1,1,1
CYTH2,18,20,13
CYTH3,1,2,1
CYTH4,4,10,3
CYTIP,4,15,3
CYTL1,4,0,1
CYYR1,0,0,0
CZIB,28,26,14
D2HGDH,1,1,1
DAAM1,2,2,1
DAAM2,0,0,0
DAB1,0,0,0
DAB2,16,34,9
DAB2IP,2,3,2
DACH1,0,0,0
DACH2,0,0,0
DACT1,2,4,2
DACT2,0,0,1
DACT3,1,5,1
DAD1,104,90,65
DAG1,1,1,0
DAGLA,1,0,0
DAGLB,4,4,4
DALRD3,4,3,4
DAND5,4,0,0
DAO,0,0,0
DAOA,0,0,0
DAP,25,24,19
DAP3,2,1,1
DAPK1,1,1,1
DAPK2,0,0,0
DAPK3,18,11,11
DAPL1,0,0,3
DAPP1,1,1,0
DARS2,2,3,1
DAW1,0,0,0
DAXX,15,8,9
DAZAP1,3,4,3
DAZAP2,80,172,82
DAZL,0,0,0
DBF4,2,2,1
DBF4B,0,0,0
DBH,0,0,0
DBI,126,80,80
DBN1,6,8,2
DBNDD1,4,3,3
DBNDD2,0,0,0
DBNL,13,15,7
DBP,26,22,32
DBR1,25,29,22
DBT,1,1,1
DBX1,0,0,0
DBX2,0,1,0
DCAF1,0,0,0
DCAF10,1,1,1
DCAF11,4,6,5
DCAF12,12,18,12
DCAF12L1,0,0,1
DCAF12L2,0,0,0
DCAF13,20,19,11
DCAF15,2,2,1
DCAF16,4,4,5
DCAF17,0,0,0
DCAF4,0,0,0
DCAF4L1,3,10,3
DCAF4L2,0,3,7
DCAF5,0,1,1
DCAF6,1,0,0
DCAF7,16,20,13
DCAF8,6,9,7
DCAF8L1,0,0,0
DCAF8L2,0,0,0
DCAKD,1,2,1
DCBLD1,1,1,1
DCBLD2,4,7,1
DCC,0,0,0
DCD,0,0,0
DCDC1,0,0,0
DCDC2,2,2,2
DCDC2B,0,0,0
DCDC2C,0,0,0
DCHS1,1,2,1
DCHS2,0,0,0
DCK,3,6,4
DCLK1,0,0,0
DCLK2,0,0,0
DCLK3,0,0,0
DCLRE1A,0,1,2
DCLRE1B,3,9,1
DCLRE1C,0,0,0
DCN,12,65,13
DCP1A,3,4,2
DCP1B,1,1,0
DCP2,1,1,1
DCPS,5,4,1
DCST1,0,0,0
DCST2,0,0,0
DCSTAMP,0,1,0
DCT,0,0,0
DCTD,3,3,3
DCTN1,6,5,4
DCTN2,6,8,5
DCTN3,23,28,15
DCTN4,2,2,1
DCTN5,4,4,3
DCTN6,18,22,17
DCTPP1,31,21,24
DCUN1D1,1,2,1
DCUN1D2,0,1,0
DCUN1D3,13,13,4
DCUN1D4,0,0,0
DCUN1D5,2,4,1
DCX,0,0,0
DCXR,75,59,69
DDA1,28,38,19
DDAH1,2,1,1
DDAH2,31,34,24
DDB1,87,112,62
DDB2,1,4,3
DDC,0,0,0
DDHD1,0,0,0
DDHD2,0,1,0
DDI1,0,0,0
DDI2,10,14,9
DDIAS,0,0,0
DDIT3,30,52,20
DDIT4,3512,2540,2711
DDIT4L,2,14,0
DDN,0,6,0
DDO,0,0,1
DDOST,219,148,198
DDR1,2,1,1
DDR2,0,0,0
DDRGK1,32,50,45
DDT,49,47,37
DDTL,0,0,0
DDX1,46,44,28
DDX10,3,2,2
DDX11,0,0,0
DDX17,224,261,193
DDX18,156,109,95
DDX19A,4,3,4
DDX19B,1,2,1
DDX20,10,10,13
DDX21,64,45,39
DDX23,43,47,37
DDX24,68,63,51
DDX25,0,0,0
DDX27,48,43,29
DDX28,87,98,52
DDX31,0,0,0
DDX39A,25,33,15
DDX39B,1,1,0
DDX3X,21,21,14
DDX3Y,4,6,3
DDX4,0,0,0
DDX41,25,22,17
DDX42,10,7,7
DDX43,0,0,0
DDX46,7,10,7
DDX47,0,0,0
DDX49,18,9,10
DDX5,309,355,210
DDX50,3,2,3
DDX51,12,35,12
DDX52,11,6,7
DDX53,0,0,0
DDX54,14,8,13
DDX55,2,2,1
DDX56,42,8,25
DDX58,1,1,1
DDX59,1,1,0
DDX6,6,5,4
DDX60,1,1,1
DDX60L,0,0,0
DEAF1,0,1,0
DECR1,6,6,5
DECR2,7,23,9
DEDD,15,5,10
DEDD2,2,1,1
DEF6,4,6,6
DEF8,1,1,1
DEFA5,0,0,0
DEFA6,0,0,0
DEFB1,242,68,290
DEFB115,0,0,0
DEFB118,0,0,0
DEFB119,0,0,0
DEFB121,0,0,0
DEFB124,0,2,1
DEFB131A,0,0,0
DEFB131B,0,0,0
DEFB132,0,0,0
DEFB134,0,0,0
DEGS1,13,29,10
DEGS2,3,3,2
DEK,27,28,22
DELE1,4,4,3
DENND1A,0,0,0
DENND1B,0,0,0
DENND1C,0,1,0
DENND2A,0,0,0
DENND2C,1,0,1
DENND2D,5,2,3
DENND3,0,1,0
DENND4A,0,0,0
DENND4B,3,4,2
DENND4C,0,0,0
DENND5A,1,1,1
DENND5B,0,0,0
DENND6A,2,2,1
DENND6B,1,1,1
DENR,35,58,31
DEPDC1,0,1,0
DEPDC1B,0,0,0
DEPDC4,0,0,0
DEPDC5,0,0,0
DEPDC7,0,1,2
DEPP1,2459,2130,1829
DEPTOR,1,1,1
DERA,1,1,1
DERL1,12,14,8
DERL2,2,4,4
DERL3,1,4,3
DES,0,2,0
DESI1,16,15,10
DESI2,1,2,1
DET1,1,0,0
DEUP1,0,0,0
DEXI,6,13,17
DFFA,31,25,26
DFFB,0,0,0
DGAT1,12,14,9
DGAT2,1,1,0
DGAT2L6,0,0,0
DGCR2,5,2,3
DGCR6,0,0,0
DGCR6L,18,6,10
DGCR8,3,4,3
DGKA,1,1,0
DGKB,0,0,0
DGKD,0,0,0
DGKE,1,1,1
DGKG,0,0,0
DGKH,2,1,1
DGKI,0,0,0
DGKK,0,0,0
DGKQ,3,2,2
DGKZ,3,5,3
DGLUCY,0,0,0
DGUOK,1,1,1
DHCR24,27,12,16
DHCR7,18,10,10
DHDDS,1,1,1
DHDH,1,0,1
DHFR,0,1,0
DHFR2,9,24,21
DHH,0,0,0
DHODH,2,4,2
DHPS,11,6,6
DHRS1,15,5,6
DHRS11,5,2,3
DHRS12,0,0,0
DHRS13,17,14,20
DHRS2,0,3,0
DHRS3,5,3,3
DHRS4,0,0,0
DHRS4L2,0,0,0
DHRS7,18,13,19
DHRS7B,1,1,1
DHRS9,1,1,0
DHTKD1,8,11,10
DHX15,22,14,12
DHX16,2,2,1
DHX29,6,4,4
DHX30,3,2,2
DHX32,3,2,2
DHX33,4,6,4
DHX34,1,1,1
DHX35,0,0,0
DHX36,16,23,14
DHX37,1,1,1
DHX38,9,9,9
DHX40,4,3,3
DHX57,0,0,0
DHX58,3,2,3
DHX8,0,1,0
DHX9,15,14,12
DIABLO,0,0,0
DIAPH1,6,4,4
DIAPH2,1,0,0
DIAPH3,0,0,0
DICER1,1,1,1
DIDO1,1,2,1
DIMT1,9,3,4
DIO1,0,0,0
DIO2,1,4,1
DIO3,16,56,9
DIP2A,0,0,0
DIP2B,2,2,1
DIP2C,0,0,0
DIPK1A,0,0,0
DIPK1B,0,1,3
DIPK1C,1,1,0
DIPK2A,7,9,5
DIPK2B,0,1,0
DIRAS1,1,0,1
DIRAS2,0,1,2
DIRAS3,71,21,68
DIRC1,0,0,0
DIS3,7,9,8
DIS3L,0,0,0
DIS3L2,0,0,0
DISC1,0,0,0
DISP1,0,0,0
DISP2,2,1,0
DISP3,0,0,0
DIXDC1,0,1,0
DKC1,14,11,10
DKK1,194,54,80
DKK2,1,1,0
DKK3,2,5,1
DKK4,3,0,3
DKKL1,0,0,0
DLAT,1,0,1
DLC1,0,1,0
DLD,15,12,9
DLEC1,0,0,0
DLEU7,0,1,0
DLG1,0,0,0
DLG2,0,0,0
DLG3,1,0,1
DLG4,1,3,1
DLG5,0,1,0
DLGAP1,0,0,0
DLGAP2,0,0,0
DLGAP3,0,0,0
DLGAP4,1,1,1
DLGAP5,1,0,0
DLK1,1,20,3
DLK2,0,0,0
DLL1,9,1,8
DLL3,0,0,0
DLL4,1,15,6
DLST,2,5,2
DLX1,0,0,0
DLX2,1,5,0
DLX3,2,0,2
DLX4,1,0,2
DLX5,0,0,1
DLX6,0,0,1
DMAC1,51,48,48
DMAC2,3,2,2
DMAC2L,2,2,2
DMAP1,25,13,18
DMBT1,1,0,1
DMBX1,0,0,0
DMC1,0,0,0
DMD,0,0,0
DMGDH,0,0,0
DMKN,1,0,1
DMP1,0,0,0
DMPK,1,1,2
DMRT1,0,0,0
DMRT2,0,0,0
DMRTA1,21,10,8
DMRTA2,0,0,0
DMRTB1,0,0,0
DMRTC2,0,0,0
DMTF1,1,0,0
DMTN,0,0,0
DMWD,49,52,27
DMXL1,0,0,0
DMXL2,0,0,0
DNA2,0,0,0
DNAAF1,0,0,0
DNAAF2,14,9,7
DNAAF3,2,0,2
DNAAF4,0,0,0
DNAAF5,3,4,3
DNAH1,1,1,0
DNAH10,0,0,0
DNAH11,0,0,0
DNAH12,0,0,0
DNAH14,0,0,0
DNAH17,0,0,0
DNAH2,0,0,0
DNAH3,0,0,0
DNAH5,0,0,0
DNAH6,0,0,0
DNAH7,0,0,0
DNAH8,0,0,0
DNAH9,0,0,0
DNAI1,0,0,0
DNAI2,0,0,0
DNAJA1,124,124,75
DNAJA2,67,42,58
DNAJA3,6,2,3
DNAJA4,2,1,1
DNAJB1,20,16,15
DNAJB11,9,16,9
DNAJB12,7,10,7
DNAJB13,1,0,2
DNAJB14,6,5,3
DNAJB2,122,84,106
DNAJB4,3,3,2
DNAJB5,2,3,1
DNAJB6,1,1,1
DNAJB7,5,0,2
DNAJB8,0,0,0
DNAJB9,298,226,196
DNAJC1,2,1,1
DNAJC10,8,6,5
DNAJC11,2,5,3
DNAJC12,2,11,1
DNAJC13,2,2,1
DNAJC14,10,12,7
DNAJC15,24,18,9
DNAJC16,6,4,4
DNAJC17,3,1,2
DNAJC18,3,5,2
DNAJC19,12,19,17
DNAJC2,13,6,8
DNAJC21,6,5,6
DNAJC22,24,20,21
DNAJC24,4,7,3
DNAJC25,9,5,10
DNAJC27,0,1,0
DNAJC28,3,3,1
DNAJC3,13,9,10
DNAJC30,83,21,64
DNAJC4,34,18,31
DNAJC5,4,6,3
DNAJC5B,1,1,0
DNAJC5G,0,0,0
DNAJC6,0,0,0
DNAJC7,8,6,5
DNAJC8,10,15,7
DNAJC9,8,9,7
DNAL1,1,1,1
DNAL4,34,11,29
DNALI1,57,11,56
DNASE1,1,0,2
DNASE1L1,2,2,1
DNASE1L2,1,7,3
DNASE1L3,0,0,1
DNASE2,134,177,86
DNASE2B,0,0,0
DND1,0,0,0
DNER,0,0,0
DNHD1,2,1,1
DNLZ,0,0,1
DNM1,0,1,1
DNM1L,2,1,1
DNM2,4,2,2
DNM3,0,0,0
DNMBP,2,1,1
DNMT1,4,5,3
DNMT3A,1,1,0
DNMT3B,0,0,0
DNMT3L,0,0,0
DNPEP,6,6,5
DNPH1,107,85,115
DNTT,0,0,0
DNTTIP1,44,44,22
DNTTIP2,198,110,106
DOC2A,0,0,0
DOC2B,0,0,0
DOCK1,0,0,0
DOCK10,0,0,0
DOCK11,0,1,0
DOCK2,0,0,0
DOCK3,0,0,0
DOCK4,0,0,0
DOCK5,4,4,2
DOCK6,1,0,0
DOCK7,0,0,0
DOCK8,0,0,0
DOCK9,0,0,0
DOHH,17,21,14
DOK1,12,8,6
DOK2,12,52,8
DOK3,1,3,0
DOK4,6,4,3
DOK5,0,1,0
DOK6,0,0,0
DOK7,0,0,0
DOLK,73,161,103
DOLPP1,5,8,3
DONSON,19,12,9
DOP1A,0,0,0
DOP1B,1,1,0
DOT1L,2,2,1
DPAGT1,24,19,21
DPCD,2,1,2
DPEP1,0,1,5
DPEP2,0,1,0
DPEP2NB,0,0,5
DPEP3,0,0,0
DPF1,0,0,0
DPF2,9,5,8
DPF3,0,0,0
DPH1,0,0,0
DPH2,10,7,7
DPH3,43,45,24
DPH5,1,0,1
DPH6,0,0,0
DPH7,0,0,0
DPM1,7,9,5
DPM2,66,63,44
DPM3,357,372,382
DPP10,0,0,0
DPP3,11,10,4
DPP4,1,1,1
DPP6,0,0,0
DPP7,40,37,32
DPP8,0,0,0
DPP9,0,0,0
DPPA2,0,0,0
DPPA3,0,1,0
DPPA4,0,0,0
DPT,3,24,18
DPY19L1,3,3,1
DPY19L2,0,0,0
DPY19L3,0,0,0
DPY19L4,1,1,1
DPY30,4,3,2
DPYD,0,0,0
DPYS,0,0,0
DPYSL2,6,11,4
DPYSL3,3,6,2
DPYSL4,2,4,1
DPYSL5,0,0,0
DQX1,5,0,3
DR1,42,105,43
DRAM1,4,3,3
DRAM2,2,2,1
DRAP1,1293,1423,680
DRAXIN,0,3,0
DRC1,0,0,0
DRC3,0,0,0
DRC7,0,0,0
DRD1,1,2,1
DRD2,0,0,0
DRD3,0,0,0
DRD4,2,4,3
DRD5,0,0,0
DRG1,11,9,9
DRG2,3,5,3
DRGX,0,0,0
DRICH1,0,0,0
DROSHA,2,1,1
DRP2,0,0,0
DSC1,0,0,0
DSC2,22,11,7
DSC3,0,0,0
DSCAM,0,0,0
DSCAML1,0,0,0
DSCC1,1,0,1
DSE,0,1,0
DSEL,6,24,26
DSG1,0,0,0
DSG2,36,28,23
DSG3,0,0,0
DSG4,0,0,0
DSN1,2,2,1
DSP,48,25,30
DSPP,0,0,0
DST,2,2,1
DSTN,83,84,69
DSTYK,0,1,1
DTD1,1,2,1
DTD2,28,30,18
DTHD1,0,0,0
DTL,0,0,0
DTNA,0,0,0
DTNB,0,0,0
DTNBP1,0,0,0
DTWD1,2,2,2
DTWD2,0,0,0
DTX1,2,7,4
DTX2,0,1,0
DTX3,1,2,2
DTX3L,132,80,85
DTX4,4,5,3
DTYMK,4,3,3
DUOX1,1,0,0
DUOX2,159,75,118
DUOXA1,0,1,0
DUOXA2,452,182,304
DUS1L,7,8,6
DUS2,0,0,0
DUS3L,10,12,10
DUS4L,1,1,1
DUSP1,10455,7744,8831
DUSP10,5,5,1
DUSP11,16,17,6
DUSP12,24,16,19
DUSP13,0,0,0
DUSP14,3,2,2
DUSP15,0,0,0
DUSP16,2,1,1
DUSP18,4,0,2
DUSP19,1,1,1
DUSP2,137,40,87
DUSP21,0,0,0
DUSP22,1,2,1
DUSP23,400,183,302
DUSP26,0,3,0
DUSP28,17,16,9
DUSP3,179,120,91
DUSP4,38,59,30
DUSP5,140,186,100
DUSP6,277,294,225
DUSP7,101,78,52
DUSP8,9,4,5
DUSP9,0,0,0
DUT,37,46,26
DUXA,0,0,0
DVL1,15,10,13
DVL2,5,3,6
DVL3,18,34,25
DXO,4,4,5
DYDC1,0,0,0
DYDC2,0,1,0
DYM,0,0,0
DYNAP,0,0,0
DYNC1H1,52,55,33
DYNC1I1,0,0,0
DYNC1I2,1,1,1
DYNC1LI1,5,4,5
DYNC1LI2,17,18,12
DYNC2H1,2,0,1
DYNC2LI1,1,1,2
DYNLL1,102,115,58
DYNLL2,89,80,103
DYNLRB1,7,6,4
DYNLRB2,0,0,0
DYNLT1,58,60,42
DYNLT3,128,83,78
DYRK1A,1,0,1
DYRK1B,3,2,2
DYRK2,9,11,9
DYRK3,1,0,1
DYRK4,1,2,1
DYSF,0,0,0
DYTN,0,0,0
DZANK1,0,0,0
DZIP1,0,0,1
DZIP1L,0,0,1
DZIP3,0,1,0
E2F1,1,5,1
E2F2,0,0,0
E2F3,2,2,1
E2F4,170,128,98
E2F5,1,0,1
E2F6,1,0,0
